Frequency (Hz),Amplitude Vin (mV),Amplitude Vout (mV),Phase Shift (degrees),
100,576,496.1,0.9912,-1.297065128
200,535.6,454.1,4.401,-1.433781329
400,607,488,9.46,-1.895377381
800,608,488,19.76,-1.909675145
1000,616,488,23.45,-2.023217803
2000,728,440,45.05,-4.373574057
4000,872,336,61.92,-8.283544151
8000,940,171,72.2,-14.80263486
10000,966,141.7,74.17,-16.67214552
20000,997.4,79.37,78.11,-21.98425967
40000,999.4,45.3,80.49,-26.87282286
80000,966.1,30,84.4,-30.15801655
100000,873,28.44,90.2,-29.74169303
